"repo","file","key_path","canonical_key_path","classification","notes"
"azurelocal-avd","config/variables.example.yml","ansible","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","ansible.ansible_connection","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.app_group_friendly_name","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.app_group_name","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.app_group_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.custom_rdp_properties","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.host_pool_description","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.host_pool_friendly_name","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.host_pool_name","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.host_pool_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.load_balancer_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.max_session_limit","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.personal_assignment_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.preferred_app_group_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.resource_group","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.start_vm_on_connect","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.validation_environment","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.workspace_friendly_name","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","control_plane.workspace_name","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","deployment","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","deployment.mode","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","deployment.naming_convention","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","domain","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","domain.domain_fqdn","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","domain.domain_join_ou_path","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","domain.domain_join_password","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","domain.domain_join_username","","alias_candidate","Legacy compatibility root without automatic mapping"
"azurelocal-avd","config/variables.example.yml","fslogix","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.cloud_cache","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.cloud_cache.connections","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.enabled","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container.delete_on_logoff","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container.flip_flop_enabled","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container.is_dynamic","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container.locked_retry_count","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container.locked_retry_interval","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","fslogix.profile_container.size_in_mb","","orphaned_candidate","Requires manual review"
