"leaf","path_count","repo_count","key_paths","repos"
"name","83","3","keyvault.name;ansible_controller.name;cloud_witness.name;azure_infrastructure.bastion.name;azure_infrastructure.key_vaults.management.name;azure_infrastructure.key_vaults.platform.name;azure_infrastructure.key_vaults.secrets.name;azure_infrastructure.log_analytics.management.name;azure_infrastructure.monitoring.log_analytics.name;azure_infrastructure.monitoring.sentinel_workspace.name;azure_infrastructure.networking.hub_vnet.name;azure_infrastructure.networking.nsgs.infrastructure.name;azure_infrastructure.networking.nsgs.lighthouse.name;azure_infrastructure.networking.subnets.infrastructure.name;azure_infrastructure.networking.vnet.name;azure_infrastructure.resource_groups.arc.name;azure_infrastructure.resource_groups.compute.name;azure_infrastructure.resource_groups.connectivity.name;azure_infrastructure.resource_groups.identity.name;azure_infrastructure.resource_groups.management.name;azure_infrastructure.resource_groups.monitoring.name;azure_infrastructure.resource_groups.network.name;azure_infrastructure.resource_groups.security.name;azure_infrastructure.virtual_machines.syslog.name;azure_platform.management_groups.landing_zone.name;azure_platform.management_groups.platform.name;azure_platform.management_groups.tenant_root.name;azure_platform.resource_groups.arc.name;azure_platform.resource_groups.compute.name;azure_platform.resource_groups.connectivity.name;azure_platform.resource_groups.identity.name;azure_platform.resource_groups.management.name;azure_platform.resource_groups.monitoring.name;azure_platform.resource_groups.network.name;azure_platform.resource_groups.security.name;azure_platform.subscriptions.connectivity.name;azure_platform.subscriptions.demo.name;azure_platform.subscriptions.lab.name;azure_platform.subscriptions.platform_connectivity.name;azure_platform.subscriptions.platform_identity.name;azure_platform.subscriptions.platform_management.name;azure_platform.subscriptions.primary.name;azure_platform.subscriptions.security.name;azure_platform.tenant.name;azure_vms.dc01.name;azure_vms.dc02.name;azure.management_groups.landing_zone.name;azure.management_groups.tenant_root.name;azure.subscription.name;azure.subscriptions.connectivity.name;azure.subscriptions.demo.name;azure.subscriptions.lab.name;azure.subscriptions.platform_connectivity.name;azure.subscriptions.platform_identity.name;azure.subscriptions.platform_management.name;azure.subscriptions.security.name;cluster_shared_volumes.storage_paths.vmstore.name;cluster.deployment.arc_gateway.name;compute.azure_vms.dc01.name;compute.azure_vms.dc02.name;compute.azure_vms.lighthouse.name;compute.azure_vms.syslog.name;compute.azure_vms.utility.name;compute.azure_vms.wac.name;compute.cluster_nodes.name;compute.cluster_shared_volumes.storage_paths.vmstore.name;domain.name;identity.service_principal.name;key_vault.name;network.azure_vnets.management.name;network.azure_vnets.management.subnets.bastion.name;network.azure_vnets.management.subnets.gateway.name;network.azure_vnets.management.subnets.management.name;network.azure_vnets.management.subnets.privateendpoints.name;network.vpn.azure_gateway.name;network.vpn.connection.name;network.vpn.local_gateway.name;project.name;security.key_vaults.management.name;security.key_vaults.platform.name;security.key_vaults.secrets.name;site.name;solution.name","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit"
"resource_group","27","5","control_plane.resource_group;monitoring.log_analytics.resource_group;session_hosts.resource_group;azure.resource_group;keyvault.resource_group;azure_infrastructure.bastion.resource_group;azure_infrastructure.key_vaults.management.resource_group;azure_infrastructure.key_vaults.platform.resource_group;azure_infrastructure.log_analytics.management.resource_group;azure_platform.resource_group;azure_vms.dc01.resource_group;azure_vms.dc02.resource_group;cluster.deployment.arc_gateway.resource_group;compute.azure_local.resource_group;compute.azure_vms.dc01.resource_group;compute.azure_vms.dc02.resource_group;compute.azure_vms.lighthouse.resource_group;compute.azure_vms.syslog.resource_group;compute.azure_vms.utility.resource_group;compute.azure_vms.wac.resource_group;identity.service_principal.roles.resource_group;network.azure_vnets.management.resource_group;network.vpn.azure_gateway.resource_group;network.vpn.connection.resource_group;network.vpn.local_gateway.resource_group;security.key_vaults.management.resource_group;security.key_vaults.platform.resource_group","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"location","14","5","subscription.location;azure.location;azure_platform.location;azure_vms.dc01.location;azure_vms.dc02.location;cluster.location;compute.azure_vms.dc01.location;compute.azure_vms.dc02.location;compute.azure_vms.lighthouse.location;compute.azure_vms.syslog.location;compute.azure_vms.utility.location;compute.azure_vms.wac.location;network.azure_vnets.management.location;site.location","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"fqdn","12","2","domain.fqdn;active_directory.domain.fqdn;azure_vms.utility.fqdn;compute.azure_vms.dc01.fqdn;compute.azure_vms.dc02.fqdn;compute.azure_vms.lighthouse.fqdn;compute.azure_vms.syslog.fqdn;compute.azure_vms.utility.fqdn;compute.azure_vms.wac.fqdn;compute.cluster_nodes.fqdn;identity.active_directory.domain.fqdn;identity.active_directory.fqdn","azurelocal-sofs-fslogix,azurelocal-toolkit"
"enabled","11","3","fslogix.enabled;networking.private_endpoints.enabled;scaling.enabled;fslogix.cloud_cache.enabled;fsrm.enabled;cluster_shared_volumes.enabled;compute.azure_local.logical_networks.enabled;compute.cluster_shared_volumes.enabled;marketplace_images.enabled;network.vpn.azure_gateway.bgp.enabled;network.vpn.local_gateway.bgp.enabled","azurelocal-avd,azurelocal-sofs-fslogix,azurelocal-toolkit"
"management","11","2","networking.management;azure_infrastructure.key_vaults.management;azure_infrastructure.log_analytics.management;azure_infrastructure.resource_groups.management;azure_platform.resource_groups.management;network.azure_vnets.management;network.azure_vnets.management.subnets.management;network.management;network.vlans.management;networking.onprem.vlans.management;security.key_vaults.management","azurelocal-loadtools,azurelocal-toolkit"
"private_ip","10","2","ansible_controller.private_ip;azure_vms.dc01.private_ip;azure_vms.dc02.private_ip;azure_vms.utility.private_ip;compute.azure_vms.dc01.private_ip;compute.azure_vms.dc02.private_ip;compute.azure_vms.lighthouse.private_ip;compute.azure_vms.syslog.private_ip;compute.azure_vms.utility.private_ip;compute.azure_vms.wac.private_ip","azurelocal-sofs-fslogix,azurelocal-toolkit"
"subscription","8","2","subscription;azure_infrastructure.bastion.subscription;azure_infrastructure.key_vaults.management.subscription;azure_infrastructure.log_analytics.management.subscription;azure.subscription;identity.service_principal.roles.subscription;network.azure_vnets.management.subscription;security.key_vaults.management.subscription","azurelocal-avd,azurelocal-toolkit"
"subnet","7","2","networking.compute.subnet;networking.management.subnet;networking.storage.subnet;networking.onprem.network_intents.subnet;networking.onprem.vlans.management.subnet;networking.onprem.vlans.storage.subnet;networking.onprem.vlans.workload.subnet","azurelocal-loadtools,azurelocal-toolkit"
"vlan_id","6","2","networking.compute.vlan_id;networking.management.vlan_id;networking.storage.vlan_id;compute.azure_local.logical_networks.vlan_id;networking.onprem.network_intents.storage_networks.vlan_id;networking.onprem.network_intents.vlan_id","azurelocal-loadtools,azurelocal-toolkit"
