"key_path","repo_count","repos"
"tags.Project","5","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"tags.Environment","5","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"tags","5","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"azure.subscription_id","4","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"azure.resource_group","4","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"azure.location","4","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"azure_local","4","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"azure","4","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"tags.workload","3","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-vm-conversion-toolkit"
"tags.solution","3","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-vm-conversion-toolkit"
"networking","3","azurelocal-avd,azurelocal-loadtools,azurelocal-toolkit"
"monitoring","3","azurelocal-avd,azurelocal-loadtools,azurelocal-toolkit"
"domain","3","azurelocal-avd,azurelocal-sofs-fslogix,azurelocal-toolkit"
"deployment","3","azurelocal-avd,azurelocal-sofs-fslogix,azurelocal-toolkit"
"azure_local.custom_location_id","3","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-vm-conversion-toolkit"
"azure_local.cluster_name","3","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit"
"winrm.use_ssl","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"winrm.port","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"winrm","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"tags.Owner","2","azurelocal-avd,azurelocal-toolkit"
"tags.ManagedBy","2","azurelocal-avd,azurelocal-toolkit"
"tags.CostCenter","2","azurelocal-avd,azurelocal-toolkit"
"security","2","azurelocal-avd,azurelocal-toolkit"
"monitoring.log_analytics.workspace_name","2","azurelocal-avd,azurelocal-toolkit"
"monitoring.log_analytics_workspace_id","2","azurelocal-loadtools,azurelocal-toolkit"
"monitoring.log_analytics","2","azurelocal-avd,azurelocal-toolkit"
"keyvault.name","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"keyvault","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"identity","2","azurelocal-avd,azurelocal-toolkit"
"fslogix.enabled","2","azurelocal-avd,azurelocal-sofs-fslogix"
"fslogix.cloud_cache","2","azurelocal-avd,azurelocal-sofs-fslogix"
"fslogix","2","azurelocal-avd,azurelocal-sofs-fslogix"
"credentials","2","azurelocal-loadtools,azurelocal-toolkit"
"azure.tenant_id","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"azure_local.storage_path_id","2","azurelocal-loadtools,azurelocal-sofs-fslogix"
"azure_local.logical_network_id","2","azurelocal-sofs-fslogix,azurelocal-vm-conversion-toolkit"
